id,title,live_type,live_tags,demo_collections,collections,reason
"15403730207043","Troy Cabinet","Living Room","Bookcases | Cabinets | Troy Bookcase","","living-room","title: coffee|\bconsole\b|\bnest\b|\bside table\b|\bend table\b|\boccasional table\b|\bbookcase\b|\bcabinet\b|\btv\b|\bmedia unit\b|\bdisplay unit\b"
"15401114239299","Tucker Sofa Bed","Living Room","sofa bed | sofa bed sale | Sofa Beds | sofa beds for sale","sofas-chairs | living-room","sofas-chairs","title: \bsofa\b|\bsofabed\b|\bsuite\b|\bsectional\b|\bseater\b"
"8794723549507","Horizontal Wall Beds","","Fold up Beds | Wall Beds","beds | beds-mattresses | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15390796513603","Scottsboro Full Foam Sofa Bed","Living Room","best sleeper sofas | Fold up Beds | full size sleeper sofa | Sofa Beds | sofa beds for sale","sofas-chairs | living-room","sofas-chairs","title: \bsofa\b|\bsofabed\b|\bsuite\b|\bsectional\b|\bseater\b"
"15390769905987","Arga Sofa Bed","Living Room","aspen pet sofa bed | aspen sofa bed | aspen sofa bed reviews | best sleeper sofas | Fold up Beds | full size sleeper sofa | Sofa Beds | sofa beds for sale","sofas-chairs | living-room","sofas-chairs","title: \bsofa\b|\bsofabed\b|\bsuite\b|\bsectional\b|\bseater\b"
"15369388196163","Viera bedframe","beds","4'6 | 4ft6 double bed | 5ft | 5ft bed size | king size","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15369386754371","Antrim bedframe","beds","4'6 | 4ft6 double bed | 5ft | 5ft bed size | king size","beds | beds-mattresses | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15369376891203","Waterford bedframe","beds","4'6 | 4ft6 double bed | 5ft | 5ft bed size | 6ft | king size | super king size","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15369361916227","Donegal Ottoman Storage Bed","beds","4'6 | 4ft6 double bed | 5ft | 5ft bed size | king size | Storage Bed","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15369135391043","Clifften Ottoman Storage Bed","beds","5ft | 5ft bed size | 6ft | king size | Storage Bed | super king size","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"15369130770755","New York Storage Bed","beds","4'6 | Storage Bed","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
"8611130868035","Aspire Rug - Coral","","coral area rug | coral rug | coral rugs | rugs with coral","rugs | rugs-modern","rugs","title: \brug\b|\brunner\b"
"8612243767619","Kilkenny Grey Locker","","grey locker cabinet | grey locker shelf | home depot lockers | Lockers & Bedsides | lockers for home | lockers for sale","bedroom-furniture | bedroom | kids-furniture","bedroom-furniture","title: wardrobe|\brobes?\b|bedside|\blockers?\b|headboard|dressing table|\btallboy\b|\bchest\b|blanket box"
"8612244029763","Kilkenny Mink Locker","","locker near me | Lockers & Bedsides | lockers for home | lockers near me | metal locker | storage locker near me","bedroom-furniture | bedroom","bedroom-furniture","title: wardrobe|\brobes?\b|bedside|\blockers?\b|headboard|dressing table|\btallboy\b|\bchest\b|blanket box"
"8612246618435","R60-M","","","rugs","","Owner classification required"
"8361262252355","Roisin 2 Seater Sofa Bed","","2 seat sofa bed | 2 seater couch bed | 2 seater pull out sofa bed | 2 Seaters | bed sofa | Fold up Beds | ikea 2 seater sofa bed | sale | small sofa bed | sofa bed sale | Sofa Beds | sofa beds for sale | sofa for sale","sofas-chairs | living-room","sofas-chairs","title: \bsofa\b|\bsofabed\b|\bsuite\b|\bsectional\b|\bseater\b"
"15362542960963","Malta Suite","Living Room","Corner Sofa | Sofa Beds | Suite","sofas-chairs | living-room","sofas-chairs","title: \bsofa\b|\bsofabed\b|\bsuite\b|\bsectional\b|\bseater\b"
"8699020738883","Natural Sleep Origin Restore Mattress","Mattress","3ft | 4ft | 4ft6 | 5ft | mattresses | rest mattress | rest sleep mattress | restful sleep mattress | sleep rest mattress | sleep rest mattress review","mattresses | beds-mattresses","mattresses | beds-mattresses","title: \bmattress\b|\btopper\b"
"8699017789763","Natural Sleep Origin Hibernate Mattress","Mattress","3ft | 4ft | 4ft6 | 5ft | hibernate | hibernate mattress | hibernation mattress | hibernation mattress waterbed | hybrid mattress inside | mattresses","mattresses | beds-mattresses","mattresses | beds-mattresses","title: \bmattress\b|\btopper\b"
"8704020152643","Natural Sleep Platinum Comfort Mattress","Mattress","3ft | 4ft | 4ft6 | 5ft | 6ft | latex foam mattress | latex matress | latex mattress | latex mattresses | mattresses | natural latex mattress","mattresses | beds-mattresses","mattresses | beds-mattresses","title: \bmattress\b|\btopper\b"
"8698292175171","Natural Sleep Nature's Touch Mattress","Mattress","3ft | 4ft | 4ft6 | 5ft | 6ft | mattresses | natural touch mattress | nature's touch latex mattress | nature's touch mattress | nature's touch mattress review","mattresses | beds-mattresses","mattresses | beds-mattresses","title: \bmattress\b|\btopper\b"
"8978708726083","Fredrik Bar Stools PU","","Bar Stool | Black | Black Legs | blue | Fredrik Bar Stools PU | Grey | sale | Stools | taupe | yellow","dining","dining","tags: dining|\bbar stool\b|\bbarstool\b|\bbreakfast\b|\bbench\b|\bsideboard\b"
"15335257899331","Frida Storage bed HB","beds","3ft | 4'6 | 5ft bed size | Bed Drawer | king size | Storage Bed","bedroom-furniture | bedroom","beds | beds-mattresses","title: bedframe|bed frame|\bbeds?\b|\bdivan\b|headboard.*base"
