id,demo_title,live_title,display_title,old_slug,live_handle,new_slug,finding
"15403730207043","","Troy Cabinet - HJ","Troy Cabinet","","troy-bookcase-hj-copy","troy-cabinet","New live product"
"15401114239299","Tucker Sofa Bed IM","Tucker Sofa Bed IM","Tucker Sofa Bed","tucker-sofa-bed-im-copy","tucker-sofa-bed-im-copy","tucker-sofa-bed","Live title retained; live handle may be historic"
"8794723549507","Horizontal Wall Beds AL","Horizontal Wall Beds AL","Horizontal Wall Beds","horizontal-wall-beds-2","horizontal-wall-beds-2","horizontal-wall-beds","Live title retained; live handle may be historic"
"15390796513603","Scottsboro Full Foam Sofa Bed - IM","Scottsboro Full Foam Sofa Bed - IM","Scottsboro Full Foam Sofa Bed","scottsboro-full-foam-sofa-bed-im","scottsboro-full-foam-sofa-bed-im","scottsboro-full-foam-sofa-bed","Live title retained; live handle may be historic"
"15390769905987","Arga Sofa Bed - IM","Arga Sofa Bed - IM","Arga Sofa Bed","arga-sofa-bed-im","arga-sofa-bed-im","arga-sofa-bed","Live title retained; live handle may be historic"
"15369388196163","Viera bedframe","Viera bedframe","Viera bedframe","valeria-bedframe","valeria-bedframe","viera-bedframe","Live title retained; live handle may be historic"
"15369386754371","Antrim bedframe","Antrim bedframe","Antrim bedframe","waterford-bedframe-copy","waterford-bedframe-copy","antrim-bedframe","Live title retained; live handle may be historic"
"15369376891203","Waterford bedframe","Waterford bedframe","Waterford bedframe","donegal-ottoman-storage-bed-copy","donegal-ottoman-storage-bed-copy","waterford-bedframe","Live title retained; live handle may be historic"
"15369361916227","Donegal Ottoman Storage Bed","Donegal Ottoman Storage Bed","Donegal Ottoman Storage Bed","clifften-ottoman-storage-bed-copy","clifften-ottoman-storage-bed-copy","donegal-ottoman-storage-bed","Live title retained; live handle may be historic"
"15369135391043","Clifften Ottoman Storage Bed","Clifften Ottoman Storage Bed","Clifften Ottoman Storage Bed","new-york-storage-bed-copy","new-york-storage-bed-copy","clifften-ottoman-storage-bed","Live title retained; live handle may be historic"
"15369130770755","New York Storage Bed","New York Storage Bed","New York Storage Bed","frida-storage-bed-hb-copy","frida-storage-bed-hb-copy","new-york-storage-bed","Live title retained; live handle may be historic"
"8611130868035","Aspire Rug - Coral","Aspire Rug - Coral","Aspire Rug - Coral","aspirerug-100-coral","aspirerug-100-coral","aspire-rug-coral","Live title retained; live handle may be historic"
"8612243767619","Kilkenny Grey Locker-GI","Kilkenny Grey Locker-GI","Kilkenny Grey Locker","kilkenny-grey-locker","kilkenny-grey-locker","kilkenny-grey-locker","Live title retained; live handle may be historic"
"8612244029763","Kilkenny Mink Locker-GI","Kilkenny Mink Locker-GI","Kilkenny Mink Locker","kilkenny-mink-locker","kilkenny-mink-locker","kilkenny-mink-locker","Live title retained; live handle may be historic"
"8612246618435","R60-M GI","R60-M GI","R60-M","r60-m","r60-m","r60-m","Live title retained; live handle may be historic"
"8361262252355","ROISIN 2 SEATER SOFA BED HT","ROISIN 2 SEATER SOFA BED HT","Roisin 2 Seater Sofa Bed","roisin-2-seater-sofa-bed","roisin-2-seater-sofa-bed","roisin-2-seater-sofa-bed","Live title retained; live handle may be historic"
"15362542960963","Malta Suite - GIE","Malta Suite - GIE","Malta Suite","malta-suite-gie","malta-suite-gie","malta-suite","Live title retained; live handle may be historic"
"8699020738883","Natural Sleep Origin Restore Mattress","Natural Sleep Origin Restore Mattress","Natural Sleep Origin Restore Mattress","natural-sleep-rest","natural-sleep-rest","natural-sleep-origin-restore-mattress","Live title retained; live handle may be historic"
"8699017789763","Natural Sleep Origin Hibernate Mattress","Natural Sleep Origin Hibernate Mattress","Natural Sleep Origin Hibernate Mattress","natural-sleep-hibernate","natural-sleep-hibernate","natural-sleep-origin-hibernate-mattress","Live title retained; live handle may be historic"
"8704020152643","Natural Sleep Platinum Comfort Mattress","Natural Sleep Platinum Comfort Mattress","Natural Sleep Platinum Comfort Mattress","natural-sleep-platinum-latex","natural-sleep-platinum-latex","natural-sleep-platinum-comfort-mattress","Live title retained; live handle may be historic"
