id,title,collection,image,options,owner_dimensions
"15401114239299","Tucker Sofa Bed","Sofas & Chairs","/media/catalogue/70a14cd130dbd47d.webp","Deep Terra | Liberty Stone",""
"15390796513603","Scottsboro Full Foam Sofa Bed","Sofas & Chairs","/media/catalogue/3f49d1d3389296a3.webp","Light Grey | Stone",""
"15390769905987","Arga Sofa Bed","Sofas & Chairs","/media/catalogue/3cbf734ec83a0bf7.webp","Dark Grey | Blue | Pumpkin",""
"15369130770755","New York Storage Bed","Beds","/media/catalogue/21952ecb125a06e9.webp","Default Title",""
"8612243767619","Kilkenny Grey Locker","Bedroom furniture","/media/catalogue/560e1804c5089e82.webp","Default Title",""
"8612244029763","Kilkenny Mink Locker","Bedroom furniture","/media/catalogue/32ead31bd25c4d0a.webp","Default Title",""
"8612246618435","R60-M","","/media/catalogue/334d828c0957d258.webp","Default Title",""
"15362542960963","Malta Suite","Sofas & Chairs","/media/catalogue/ee7396bbc7e50d03.webp","LHF | RHF",""
"8978708726083","Fredrik Bar Stools PU","Dining","/media/catalogue/9118ae35037f7207.webp","Taupe PU | Yellow PU | Grey PU | Blue PU | Black PU",""
"15334191497539","Cedar Wood 2 Drawer Locker","Bedroom furniture","/media/catalogue/831e8c50555e0f53.webp","Sage Green | Indigo Blue | Oak | White | Ivory | Grey",""
"15298336194883","Elizabeth Ivory Metal Bed - 4'6","Beds","/media/catalogue/c6ca8e8f3994be9d.webp","Default Title",""
"9062542541123","Isra Console Table Marble","Living Room","/media/catalogue/5d09a01d8eecf596.webp","Default Title",""
"9062545621315","Isra Lamp Table Marble","Lighting","/media/catalogue/5bb4b26c9459d054.webp","Default Title",""
"15265178321219","Sheraton Recliner Sofa Range","Sofas & Chairs","/media/catalogue/ff1cd7638a327d5d.webp","3 Seater | 2 Seater | Armchair",""
"15265177764163","Kerry Recliner Sofa Range","Sofas & Chairs","/media/catalogue/3361ddc49d2c3b3a.webp","3 Seater | 2 Seater | Armchair | 3+2 Seater | 3+1 Seater | 3+2+1 Seater",""
"7674039828667","Taylor Patchwork Chair (original)","Sofas & Chairs","/media/catalogue/eb763cfe44bfc7ab.webp","Default Title",""
"15149848953155","Turner Leisure Chair w/Footstool","Chairs & Footstools","/media/catalogue/65ffe7a0dc196b2d.webp","Ash | Light Grey | Dark Grey",""
"15121610637635","Ryder Reclining Chair Ash","Chairs & Footstools","/media/catalogue/b3733a1200fa19bf.webp","Default Title",""
"15121578131779","Sienna Reclining Chair w/ Phone Holder","Chairs & Footstools","/media/catalogue/41d8bcf338aa71e9.webp","Mustard Yellow | Moss Green | Grey",""
"15111764672835","Nantes Accent Chair","Chairs & Footstools","/media/catalogue/5748ca83e98e28a5.webp","Chestnut | Graphite",""
"15111762870595","Talia Accent Chair","Chairs & Footstools","/media/catalogue/c8febccdcde5aa35.webp","Ash | Forest Green | Beige",""
"15110009553219","Pearl Lounger Bean Bag Moss","Chairs & Footstools","/media/catalogue/117adca447211ee0.webp","Default Title",""
"15110002999619","Oakley Loveseat","Sofas & Chairs","/media/catalogue/dbaaf58c7af72802.webp","Winter Moss | Winter Moss | Deep Tera | Deep Tera",""
"15109996806467","Isla Swivel Recliner with Footstool","Chairs & Footstools","/media/catalogue/7209f287e5e2e0f3.webp","Deep Ocean | Winter Moss",""
"15109982159171","Halton Lift and Rise + Massage Sofas","Chairs & Footstools","/media/catalogue/8c683fd9b0456954.webp","1 Seater | 2 Seater | 3 Seater",""
"15109961941315","Ebro Sofa Bed","Sofas & Chairs","/media/catalogue/476dd652d8d84352.webp","Blue | Dark Grey | Pumpkin",""
"15109959680323","Bremen Sofas","Chairs & Footstools","/media/catalogue/39382cf502b82992.webp","1 Seater | 2 Seater | 3 Seater",""
"9087421317443","Opera Dining Chair","Dining","/media/catalogue/031918574c529976.webp","Tan | Charcoal",""
"15062587277635","Waterloo Fabric Recliner Sofa","Sofas & Chairs","/media/catalogue/bef6513e74e23457.webp","Dark Grey | Dark Grey | Dark Grey | Coffee | Coffee | Coffee | Dark Grey | Coffee | Dark Grey | Coffee | Dark Grey | Coffee | Dark Grey | Coffee | Dark Grey | Coffee",""
"14981849284931","Boston Corner Sofa Bed - Bren","Sofas & Chairs","/media/catalogue/aa4d3da422b13fcd.webp","Navy | Light Grey",""
"14978333573443","GD001 Mirror","Accessories","/media/catalogue/c46136aea49f4718.webp","Default Title",""
"14978331705667","GD008 Mirror","Accessories","/media/catalogue/82991dcb631df8c5.webp","Default Title",""
"14978329215299","GD007 Mirror","Accessories","/media/catalogue/93b5f25d577d9d04.webp","Default Title",""
"14978153251139","GD006 Mirror","Accessories","/media/catalogue/a187b346e1cf4d98.webp","Default Title",""
