id,title,old_price,live_price,old_compare,live_compare,action,availability
"15401114239299","Tucker Sofa Bed IM","349","349.00","449","449.00","retain live compare-at","Showroom stock and lead time not supplied"
"8794723549507","Horizontal Wall Beds AL","1899","1899.00","2399","2399.00","retain live compare-at","Showroom stock and lead time not supplied"
"15390796513603","Scottsboro Full Foam Sofa Bed - IM","1549","1549.00","1899","1899.00","retain live compare-at","Showroom stock and lead time not supplied"
"15390769905987","Arga Sofa Bed - IM","399","399.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369388196163","Viera bedframe","599","599.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369386754371","Antrim bedframe","349","349.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369376891203","Waterford bedframe","399","399.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369361916227","Donegal Ottoman Storage Bed","699","699.00","849","849.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369135391043","Clifften Ottoman Storage Bed","699","699.00","899","899.00","retain live compare-at","Showroom stock and lead time not supplied"
"15369130770755","New York Storage Bed","799","799.00","1399","1399.00","retain live compare-at","Showroom stock and lead time not supplied"
"8611130868035","Aspire Rug - Coral","99","99.00","179","179.00","retain live compare-at","Showroom stock and lead time not supplied"
"8612243767619","Kilkenny Grey Locker-GI","199","199.00","249","249.00","retain live compare-at","Showroom stock and lead time not supplied"
"8612244029763","Kilkenny Mink Locker-GI","199","199.00","","","remove empty compare-at","Showroom stock and lead time not supplied"
"8612246618435","R60-M GI","159","159.00","199","199.00","retain live compare-at","Showroom stock and lead time not supplied"
"8361262252355","ROISIN 2 SEATER SOFA BED HT","799","799.00","1099","1099.00","retain live compare-at","Showroom stock and lead time not supplied"
"15362542960963","Malta Suite - GIE","1599","1599.00","2589","2589.00","retain live compare-at","Showroom stock and lead time not supplied"
"8699020738883","Natural Sleep Origin Restore Mattress","349","349.00","459","459.00","retain live compare-at","Showroom stock and lead time not supplied"
"8699017789763","Natural Sleep Origin Hibernate Mattress","349","349.00","499","499.00","retain live compare-at","Showroom stock and lead time not supplied"
"8704020152643","Natural Sleep Platinum Comfort Mattress","629","629.00","899","899.00","retain live compare-at","Showroom stock and lead time not supplied"
"8698292175171","Natural Sleep Nature's Touch Mattress","959","959.00","1299","1299.00","retain live compare-at","Showroom stock and lead time not supplied"
"8978708726083","Fredrik Bar Stools PU GA","169","169.00","249","249.00","retain live compare-at","Showroom stock and lead time not supplied"
"15335257899331","Frida Storage bed HB","499","499.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"15334191497539","Cedar Wood 2 Drawer Locker","139","139.00","189","189.00","retain live compare-at","Showroom stock and lead time not supplied"
"15333210390851","Concept Vertical Wall Bed","1699","1699.00","2199","2199.00","retain live compare-at","Showroom stock and lead time not supplied"
"8798938235203","Vertical Wall Beds AL","1789","1789.00","2289","2289.00","retain live compare-at","Showroom stock and lead time not supplied"
"15310062715203","Aspen Corner Garden Furniture Set","1249","1249.00","2499","2499.00","retain live compare-at","Showroom stock and lead time not supplied"
"15298336194883","Elizabeth Ivory Metal Bed - 4'6","499","499.00","649","649.00","retain live compare-at","Showroom stock and lead time not supplied"
"15298328232259","Shannon Mattress","249","249.00","329","329.00","retain live compare-at","Showroom stock and lead time not supplied"
"9062542541123","Isra Console Table Marble GA","199","199.00","249","249.00","retain live compare-at","Showroom stock and lead time not supplied"
"9062545621315","Isra Lamp Table Marble GA","159","159.00","229","229.00","retain live compare-at","Showroom stock and lead time not supplied"
"15269849891139","Limerick Storage Bed","769","769.00","899","899.00","retain live compare-at","Showroom stock and lead time not supplied"
"15269847859523","Wicklow Storage Bed","627","627.00","849","849.00","retain live compare-at","Showroom stock and lead time not supplied"
"15265178321219","Sheraton Recliner Sofa Range","749","399.00","989","599.00","retain live compare-at","Showroom stock and lead time not supplied"
"15265177764163","Kerry Recliner Sofa Range","989","499.00","1299","649.00","retain live compare-at","Showroom stock and lead time not supplied"
"7674039828667","Taylor Patchwork Chair (original) - HJ","219","219.00","299","299.00","retain live compare-at","Showroom stock and lead time not supplied"
"8945405264195","Melissa Nest Table HJ","99","99.00","","","remove empty compare-at","Showroom stock and lead time not supplied"
"8612247929155","Sligo Gas Lift Bed-GI","649","649.00","899","899.00","retain live compare-at","Showroom stock and lead time not supplied"
"15239233339715","Carlow Beige Bed - GI","689","689.00","980","980.00","retain live compare-at","Showroom stock and lead time not supplied"
"8612243833155","Kilkenny Mink Bed-GI","559","559.00","899","899.00","retain live compare-at","Showroom stock and lead time not supplied"
"15233630798147","Metro Sofa Bed - JB","599","599.00","","","remove empty compare-at","Showroom stock and lead time not supplied"
"15149848953155","Turner Leisure Chair w/Footstool IM","399","399.00","499","499.00","retain live compare-at","Showroom stock and lead time not supplied"
"14875251671363","Malvern 2 Door Bedroom Range WS","569","569.00","699","699.00","retain live compare-at","Showroom stock and lead time not supplied"
"6847039537339","Chelsea Dining Set with Bench - HJ","899","899.00","1289","1289.00","retain live compare-at","Showroom stock and lead time not supplied"
"15121610637635","Ryder Reclining Chair Ash","649","649.00","799","799.00","retain live compare-at","Showroom stock and lead time not supplied"
