slug,current_name,proposed_name,collection,size_in_name,price,image
r60-m,R60-M GI,,rugs,,159,/media/shopify/r60-m.jpg
gd003-mirror-gie-copy-1,GD001 Mirror - GIE,,accessories objects,,156,/media/shopify/gd003-mirror-gie-copy-1.png
gd007-mirror-gie-copy,GD008 Mirror - GIE,,accessories objects,,189,/media/shopify/gd007-mirror-gie-copy.png
gd006-mirror-gie-copy,GD007 Mirror - GIE,,accessories objects,,179,/media/shopify/gd006-mirror-gie-copy.png
gd005-mirror-gie-copy,GD006 Mirror - GIE,,accessories objects,,169,/media/shopify/gd005-mirror-gie-copy.png
gd004-mirror-gie-copy,GD005 Mirror - GIE,,accessories objects,,156,/media/shopify/gd004-mirror-gie-copy.png
gd003-mirror-gie-copy,GD004 Mirror - GIE,,accessories objects,,156,/media/shopify/gd003-mirror-gie-copy.png
gd003-mirror-gie,GD003 Mirror - GIE,,accessories objects,,169,/media/shopify/gd003-mirror-gie.png
l17b66-80x80-cm-gi,L17B66- 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/l17b66-80x80-cm-gi.jpg
s18b68-80x80-cm-gi,S18B68 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/s18b68-80x80-cm-gi.jpg
fam-2465-80x80-cm-gi,FAM-2465 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-2465-80x80-cm-gi.jpg
fam-2434-60x90-cm-gi,FAM-2434 - 60X90 CM - GI,,rugs,60X90 CM,159,/media/shopify/fam-2434-60x90-cm-gi.jpg
fam-1533-80x80-cm-gi,FAM-1533 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-1533-80x80-cm-gi.jpg
fam-1626-90x60-cm-gi,FAM-1626 - 90X60 CM - GI,,rugs,90X60 CM,149,/media/shopify/fam-1626-90x60-cm-gi.jpg
fam-0637-80x80-cm-gi,FAM-0637 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-0637-80x80-cm-gi.jpg
fam-0669-90x60-cm-gi,FAM-0669 - 90X60 CM - GI,,rugs,90X60 CM,139,/media/shopify/fam-0669-90x60-cm-gi.jpg
l19t18-80x80-cm-gi,L19T18 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/l19t18-80x80-cm-gi.jpg
l18b111-80x80-cm-gi,L18B111 - 80X80 CM - GI,,rugs,80X80 CM,179,/media/shopify/l18b111-80x80-cm-gi.jpg
fam-2471-1-80x80-cm-gi,FAM-2471-1 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-2471-1-80x80-cm-gi.jpg
fam-2527-80x80-cm-gi,FAM-2527 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-2527-80x80-cm-gi.jpg
fam-1375-80x80-cm-gi,FAM-1375 - 80X80 CM - GI,,rugs,80X80 CM,159,/media/shopify/fam-1375-80x80-cm-gi.jpg
zh6068-80x80-cm-gi,ZH6068- 80X80 CM - GI,,rugs,80X80 CM,159,/media/shopify/zh6068-80x80-cm-gi.jpg
fam-2523-90x60-cm-gi,FAM-2523- 90X60 CM - GI,,rugs,90X60 CM,149,/media/shopify/fam-2523-90x60-cm-gi.jpg
fam-0328-80x80-cm-gi,FAM-0328 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-0328-80x80-cm-gi.jpg
fam-0117-80x80-cm-gi,FAM-0117 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-0117-80x80-cm-gi.jpg
fam-2520-80x80-cm-gi,FAM-2520 - 80X80 CM - GI,,rugs,80X80 CM,169,/media/shopify/fam-2520-80x80-cm-gi.jpg
t108019s-lamp,T108019S Lamp,,lighting objects,,129,/media/shopify/t108019s-lamp.jpg
t209023-lamp,T209023 Lamp,,lighting objects,,129,/media/shopify/t209023-lamp.jpg
t209026-lamp,T209026 Lamp,,lighting objects,,139,/media/shopify/t209026-lamp.jpg
t209027-lamp,T209027 Lamp,,lighting objects,,129,/media/shopify/t209027-lamp.jpg
t209024-lamp,T209024 Lamp,,lighting objects,,139,/media/shopify/t209024-lamp.jpg
t108015b-lamp,T108015B Lamp,,lighting objects,,119,/media/shopify/t108015b-lamp.jpg
t108040a-lamp,T108040A Lamp,,lighting objects,,129,/media/shopify/t108040a-lamp.jpg
t108020b-lamp,T108020B Lamp,,lighting objects,,139,/media/shopify/t108020b-lamp.jpg
t209022-lamp,T209022 Lamp,,lighting objects,,129,/media/shopify/t209022-lamp.jpg
t2314-lamp,T2314 Lamp,,lighting objects,,119,/media/shopify/t2314-lamp.jpg
t108011-lamp,T108011 Lamp,,lighting objects,,129,/media/shopify/t108011-lamp.jpg
t108002-lamp,T108002 Lamp,,lighting objects,,139,/media/shopify/t108002-lamp.jpg
t209018w-lamp,T209018W Lamp,,lighting objects,,139,/media/shopify/t209018w-lamp.jpg
t2312-lamp,T2312 Lamp,,lighting objects,,119,/media/shopify/t2312-lamp.jpg
t2311-lamp,T2311 Lamp,,lighting objects,,139,/media/shopify/t2311-lamp.jpg
t2313-lamp,T2313 Lamp,,lighting objects,,119,/media/shopify/t2313-lamp.jpg
t2315-lamp,T2315 Lamp,,lighting objects,,119,/media/shopify/t2315-lamp.jpg
f209029-lamp,F209029 Lamp,,lighting objects,,169,/media/shopify/f209029-lamp.jpg
f209028-lamp,F209028 Lamp,,lighting objects,,169,/media/shopify/f209028-lamp.jpg
dp48-sv,DP48-SV TV STAND GI,,rugs,,149,/media/shopify/dp48-sv.jpg
a60-u,A60-U - GI,,rugs,,159,/media/shopify/a60-u.jpg
